Map_ID,Is_Active,Signal_Key,Lite_Variable_Name,Mapping_Method,When_Signal_Value,Then_Lite_Class,Confidence_0_1,Estimate_Formula,Notes
ADVM_196,TRUE,REGEN_LEGUME_INTEGRATION,regen_organic_frequency,DERIVED_PROXY,NONE,Never,0.65,,No legumes
ADVM_197,TRUE,REGEN_MANURE_ACCESS,regen_organic_frequency,DERIVED_PROXY,REGULAR,Every season,0.8,,Manure access→organic freq
ADVM_198,TRUE,REGEN_MANURE_ACCESS,regen_organic_frequency,DERIVED_PROXY,SOME,Once per year,0.75,,Some manure
ADVM_199,TRUE,REGEN_MANURE_ACCESS,regen_organic_frequency,DERIVED_PROXY,NONE,Never,0.8,,No manure
ADVM_200,TRUE,ERW_ROCK_TYPE,erw_material_type,DIRECT_CATEGORICAL,BASALT,Basalt (preferred),0.9,,Bridge: ERW eligibility→scoring
ADVM_201,TRUE,ERW_ROCK_TYPE,erw_material_type,DIRECT_CATEGORICAL,OTHER,Mixed / variable source,0.75,,ERW other rock
ADVM_202,TRUE,ERW_ROCK_TYPE,erw_material_type,DIRECT_CATEGORICAL,NONE,Unknown,0.7,,ERW no source
ADVM_203,TRUE,MAIN_CROP,water_management_baseline,DERIVED_PROXY,RICE_FLOODED,Continuous flooding,0.75,,Bridge: rice crop→water baseline
ADVM_204,TRUE,MAIN_CROP,water_management_baseline,DERIVED_PROXY,NON_RICE,Rainfed rice,0.75,,Bridge: non-rice
ADVM_205,TRUE,WATER_MANAGEMENT,water_management_baseline,DIRECT_CATEGORICAL,CONTINUOUS_FLOOD,Continuous flooding,0.95,,Bridge: water_mgmt eligibility
ADVM_206,TRUE,WATER_MANAGEMENT,water_management_baseline,DIRECT_CATEGORICAL,AWD_ALREADY,Already AWD,0.95,,Bridge: already AWD
ADVM_207,TRUE,WATER_MANAGEMENT,water_management_baseline,DIRECT_CATEGORICAL,INTERMITTENT_FLOOD,Intermittent flooding,0.9,,Bridge: intermittent
ADVM_208,TRUE,WATER_MANAGEMENT,water_management_baseline,DIRECT_CATEGORICAL,AEROBIC,Aerobic rice,0.9,,Bridge: aerobic
ADVM_209,TRUE,WATER_MANAGEMENT,water_management_baseline,DIRECT_CATEGORICAL,RAINFED,Rainfed rice,0.9,,Bridge: rainfed
ADVM_210,TRUE,BIOCHAR_APPLICATION,biochar_application_readiness,DIRECT_CATEGORICAL,YES,High,0.9,,Bridge: biochar eligibility
ADVM_211,TRUE,BIOCHAR_APPLICATION,biochar_application_readiness,DIRECT_CATEGORICAL,PLANNING,Moderate,0.8,,Bridge: planning
ADVM_212,TRUE,BIOCHAR_APPLICATION,biochar_application_readiness,DIRECT_CATEGORICAL,NO,Low,0.9,,Bridge: no biochar interest
ADVM_213,TRUE,BIO_RESIDUE_DIVERT_WILLING,bio_residue_diversion_willingness,DIRECT_CATEGORICAL,YES,High,0.9,,Biochar diversion willing
ADVM_214,TRUE,BIO_RESIDUE_DIVERT_WILLING,bio_residue_diversion_willingness,DIRECT_CATEGORICAL,DEPENDS,Medium,0.85,,Conditional
ADVM_215,TRUE,BIO_RESIDUE_DIVERT_WILLING,bio_residue_diversion_willingness,DIRECT_CATEGORICAL,NO,Low,0.9,,Unwilling
ADVM_216,TRUE,PUMP_POWER_TYPE,irrigation_cost_level,DERIVED_PROXY,ELECTRIC,Low,0.7,,Electric pump→lower cost
ADVM_217,TRUE,PUMP_POWER_TYPE,irrigation_cost_level,DERIVED_PROXY,DIESEL,High,0.75,,Diesel pump→higher cost
ADVM_218,TRUE,PUMP_POWER_TYPE,irrigation_cost_level,DERIVED_PROXY,SOLAR,Low,0.8,,Solar→very low marginal cost
ADVM_219,TRUE,PUMP_POWER_TYPE,irrigation_cost_level,DERIVED_PROXY,NONE,Low,0.7,,Rainfed→no pump cost
